start	end	text
0	4000	Gravando, certinho. Bom pessoal.
4000	6000	Muito prazer estar com vocês hoje.
6000	9000	E sejam todos muito bem-vindo, seu sou ouga.
9000	13000	Eu seria a mentora de dormirmos de vocês, de análise e ciência de dados.
13000	15000	Estamos começando hoje.
15000	18000	E nessa reunião que vai durar mais ou menos uma orinha,
18000	20000	é vou explicar tudo sobre nosso curso,
20000	22000	nosso bootcamp, como funciona.
22000	25000	Respondéssito, desde vocês.
25000	28000	Tá bom? Então, vou hora começar.
28000	33000	Não se introdução aqui, quem quiser por favor manter a câmera ligada.
33000	36000	E me cronvone, desligado também, né?
36000	38000	Pra ele estar assim, barulhos externos.
38000	41000	Mas se você quiser comentar alguma coisa,
41000	44000	por favor, fique a vontade da pra levantar o meu mandaço,
44000	46000	ou do vio no chat.
46000	52000	A gente vai ter também no final um tempo em ir pra tirar essas dúvidas de vocês,
52000	56000	mas também dá pra conversar ao longo dessa nossa reunião.
56000	57000	Tá bom?
57000	63000	Amanhã, essa reunião será já disponível para quem quiser assistir novamente.
63000	67000	Eu vou compartilhar com vocês o link no Discord, né?
67000	73000	Quem não entrou no Discord, vou também explicar hoje como finalizar esse processo.
73000	77000	Tá bom? Vamos conversar sobre o plataforma, tudo mais.
77000	80000	Então, eu desejo uma boa reunião pra todos nós.
80000	83000	Vamos para nossa agenda.
83000	86000	Vou apresentar para vocês, não sei que ping,
86000	90000	o pessoal que vai cuidar de vocês ao longo desses meses.
90000	94000	É nosso processo educacional, medo dos de aprendizagem,
94000	97000	curso de preparação de carreira.
97000	102000	E claro, dicas de sucesso e nossos próximos passos, a partir de hoje.
102000	105000	Com a opção, não sei que peda tripodém.
105000	108000	Temos o Manolo.
108000	112000	Ele é o nosso gerente de experiência de aluno.
112000	114000	Eu sou a mentor da turma de vocês.
114000	118000	Então, eu cuido da parte de administrativa do curso.
118000	122000	E estou aqui pra ajudar se no geral o que for necessário.
122000	128000	Então, a gente vai também conversar bastante quase todos os dias.
128000	133000	Temos com a gente também presente nos tutores,
133000	136000	estrutura e gerente de sucesso de carreira.
136000	141000	Pessoal, se quiser se apresentar alguém, a Nil, Tom Alvaro, o seu favor.
142000	146000	Bom, boa noite.
146000	148000	A todo mundo é muito legal.
148000	150000	Está aqui com vocês.
150000	152000	Mais uma toma com uma comissão.
152000	155000	Sempre muito impolgante, né?
