start	end	text
330000	342040	e o álido אחד realizou甚麼?
346820	349000	EntãoHello, mesmo?
540000	543040	e
543040	544060	eu
544060	545340	acho que
545340	546720	vamos
546720	549200	nada
549200	550780	eu
550780	553260	e
553260	556740	eu
556740	558320	e
558320	560360	tudo
560360	562600	para
562600	566980	mais
566980	567740	hoje
567740	571280	2, 2, 2, e, né, pessoal?
571280	572400	É, é, é, sim.
572400	575340	2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4,
575340	577220	dá tão especial, né?
577220	579720	No, 2, 2, 2, 2, 2, 2, 2, 1, 2, 1.
579720	584540	Então hoje, não tem a primeira aula, até hora que que
584540	587980	que eu vou começar a falar sobre a avançar um pouco mais nas ferrametas do
587980	588980	Python.
588980	592680	Vamos começar ali dar uma pincelada sobre a utilização de dados também,
592680	593680	e é, é, é, é, é, é, é, é, é, é,
593680	596420	podemos dizer assim mais tudo, uma ferramenta.
596420	599960	Portanto, isso, no pra gente que trabalha com dados, e é, é, independente de
599960	607220	engerir de dados, é, na legidade de dados, tem a, a, a, a, a abriedade de transportar o que
607220	609280	você criou pra visualização de dados.
609280	612320	É, uma das coisas ferramentas, mais poutais que a gente tem.
612320	615060	É, é uma coisa que passa se é um pouco subjetiva, né?
615060	618980	É, é, depende muito do pulo que você tá comunicando, depende de, com quem você
618980	626420	vai falar, mas a vez a doença de dados, ela,
626420	627980	justamente porque tem tudo isso,
627980	629180	a gente tem que levar em conto gráfico,
629180	630380	que a gente vai usar o púrico,
630380	631660	a gente vai comunicar.
631660	633620	E hoje a gente vai começar a trocar o meandés sobre isso.
633620	635980	E vai ser o que vai vir naturalmente também,
635980	637420	é o longo dos projetos,
637420	638420	a longa das principios,
638420	640100	é o longo da também da carreira de vocês.
640100	644020	Mas é bom a gente deixar uma base fundamental aqui,
644020	646660	e eu trazer um pouco da experiência que eu tenho,
646660	649220	trabalhando com os aliás são idados.
649220	652140	E também, vamos passar um pouco ali sobre as principais
652140	654100	claramente as dimensos de manipulação de idados,
654100	657740	que vocês estão já pegando agora na Espanha de Cresse,
657740	659020	já começou.
659020	662180	Então por hoje é isso.
662180	663860	Essa é a nossa ideia.
663860	667980	Vamos passar aqui primeiro nos objetivos da aula,
667980	670540	nosso primeiro objetivo é conhecer
670540	673180	os principais tipos de visualização de dados
673180	674980	e quando usar cada um deles.
674980	678020	E nem dificamos de usar a liação de dados distorcida,
678020	681220	isso é muito, muito interessante.
681220	683020	A gente vai discutir que um pouco sobre,
683020	687260	como a visão de dados é algo que você pode usar a favor ou qualquer.
687260	689100	É um arro muito poderoso,
689100	691660	então vocês podem manipular de certa forma o público,
691660	693180	vocês estão se comunicando.
693180	695340	Isso acontece de mais em nosso cotiniano.
695340	698020	A gente vai ver que várias exemplos,
698020	702580	e que vocês não identificaram também com relação a com de dia.
702580	704580	Tivem também falar sobre FITIONE NIRIN,
704580	706980	que é uma parte muito importante da manipulação de dados,
706980	709700	que a gente vai usar para todo o processo de análise de dados,
709700	712980	para a creação de modelos, de licencividados.
712980	716660	Então, a parte potantíssima também do processo de dimos de exploração de dados,
716660	720540	a gente estrair mais valor e das nossas variáveis que a gente tem,
720540	722340	ou se ele dá, das nossas colunas,
722340	724340	que eu vejo alguns exemplos também.
724340	727100	No final, a gente vai falar um pouco mais técnico,
727100	729060	como conseguimos diferenciar a Croix Tab,
729060	731020	estabelegina, que os eagofamentos,
731020	732700	que são o que a gente vai falar muito, muito,
732700	734340	muito ao longo do bootcamp todo,
734340	736780	em testes de podes de falar bastante sobre grupos,
736780	739020	então a gente vai começar a construir essa vália,
739100	741300	sobre o que são os equipamentos.
741300	743140	E a gente vai também,
743140	745580	um ponto que sempre dá muita dúvida,
745580	747620	é quando que os números de quantos pontos,
747620	751660	quantos apentes são métodos que a gente usa para data frames,
751660	753300	cada um tem a sua utilidade,
753300	756980	a gente são métodos no geral para um e-data frames,
756980	758380	de diferentes volas,
758380	761580	e a gente vai falar um pouco sobre eles, também é um longo da aula.
761580	763740	Mas então, primeira coisa,
763740	767380	eu quero perguntar para vocês a gente levantou essa bola,
767380	770020	e eu quero perguntar se vocês já viram algum gráfico
770020	772980	que foi feito para manipular quem está vendo.
772980	775660	E se vocês conseguem trazer algum exemplo aqui,
775660	777420	lembrada a vida de vocês,
777420	780060	mesmo a uma vez que vocês olharam um gráfico e falou,
780060	781580	será que é isso mesmo?
781580	783100	E depois que vocês foram entendendo,
783100	784540	realmente tinha um contexto ali,
784540	788100	como o gráfico foi criado feito para manipular quem está vendo.
789100	795060	Em uma dica, em um idica,
795060	799260	a gente acabou de passar por um momento que isso acontece demais,
799260	800860	que é perigual eitoral.
802860	805420	Conseguem lembrar de alguma coisa?
807780	812980	Agora, nas eleições de, agora me me espais, né?
812980	815980	Eu lembro que eu vi uma um posto no Instagram,
816340	818500	dois candidatos estavam no segundo tudo,
818500	822620	e aí estavam botando o post de uns candidatos falando,
822620	823340	ah,
823340	823620	eh,
823620	825620	fulando disparou.
825620	827500	Então, nas pesquisas, né?
827500	829020	Disparou nas pesquisas.
829020	831500	Aí, botava o gráfico de delo em cima,
831500	833300	ao bem alto, sim,
833300	835820	e o douto candidato lá embaixo.
835820	838220	Então, eu caraca ele disparou mesmo,
838220	839820	a isso vai olhar a diferença.
839820	840380	Tava,
840380	841500	50 e 2,
841500	842660	a 48.
843620	845900	Então, os caras deram uns um, né?
845900	847420	Tipo, como se der, tivesse em dar uns um,
847420	848300	eles voltaram o eixo e o eixo,
848300	849780	e o eixo, e o número em um miscala,
849780	851940	que fica muito distorcida de forma,
851940	853780	a pareciação a diferença muito grande.
853780	854980	E assim,
854980	855780	é aquela, né?
855780	857220	Mentira, não é?
857220	858780	Mas é uma manipulação,
858780	859780	feita para...
859780	860780	É...
860780	862500	Nem que não ganar quem está vendo, né?
862500	863260	Porque,
863260	866940	tudo isso, da liera já já entra na parte do marketing,
866940	868460	do efeito de monada,
868460	869300	que a pessoa vê,
869300	870300	não, se ele disparou.
870300	871020	Então,
871020	873100	a pessoa já já creia a sua opção de afuão,
873100	874300	tá na frente,
874300	875740	o avonei mesmo.
875740	878380	Então, é tudo isso affeito com propósito, né?
878380	879460	Então, esse pessoal que,
879460	879980	principalmente,
879980	880980	que é um panelitoral, né?
880980	882340	É um muito dinheiro investido
882340	882740	o marketing,
882740	884500	então, eles nem vão fazer nada por a casa.
884500	885900	O isso é pensado.
885900	886460	E a gente vai ver,
886460	887620	mas uns exemplos aqui hoje,
887620	889060	ao longo da aula.
889060	890180	Mas, primeiro,
890180	894780	vai falar aqui sobre os principais tipos de visualizações de dados.
894780	896380	E vamos começar a construir nossa base.
896380	897900	Acho que o mais claro, né,
897900	898620	que a gente conhece,
898620	900540	que todo mundo
900540	902780	já teve experiência.
902780	903820	E, pelo menos,
903820	905820	algumas vezes na vida já viu,
905820	908300	é o gráfico de
908300	910300	barras que é isso aqui.
910300	911180	É basicamente,
911180	912540	para comparar a categoria, né?
912540	913300	Então, a gente,
913300	915060	aqui, um exemplo número de vendas
915060	916820	em uma loja de departamento,
916820	920460	é o gráfico mais batido.
920460	922220	E aqui a gente tem as categoria,
922220	922860	o procedurismo,
922860	923620	o procedurismo,
923620	924860	o procedurismo,
924860	924900	o procedurismo,
924900	926780	o mesmo banho e a quantidade de vendas
926780	928580	para cada um.
928580	930180	Então, esse é o gráfico mais...
930180	931420	ele pode ser também,
931420	933620	na horizontal,
933620	937020	mas ele não deixa de ser um gráfico de barras, né?
937020	939020	E,
939020	940460	outro gráfico também,
940460	942260	muito utilizado que a grande maioria
942260	944100	já deve ter visto a o gráfico de linha.
944100	945660	Ele serve para mostrar
945660	947060	tendência em movimentações,
947060	950020	assim, de uma valor ao longo do tempo.
950020	950980	Então, aqui,
950980	952460	a gente tem, por exemplo,
952460	954060	onde ele é muito utilizado
954060	955580	em ações,
955580	956860	a gente tem o gráfico de ações
956860	957940	da Petrobras,
957940	960700	a gente vê que é um período de 15 anos,
960700	962700	e o gráfico de linha...
962700	964500	Eu achei muito interessante
964500	966140	porque a gente tem que lidar
966140	967700	com todo uma nova dimensão,
967700	969340	a gente não precisa
969340	970260	com o gráfico de linha.
970260	971780	Tem muita informação.
971780	972940	Por que eu falo isso?
972940	974820	Aqui é uma informação que a gente tem, é...
974820	977380	o preço da ação da Petrobras.
977380	978140	Por favor, não.
978140	979060	Que tem mais nada que...
979060	980620	Preci da ação da Petrobras.
980620	982300	Então, ela começou aqui no vinte,
982300	985300	ela foi para chegar batecincüenta,
985300	986580	depois ela desceu,
986580	991460	ela foi pegou quase de graça
