start	end	text
500	980	11
1760	3760	Hello?
30000	37000	Bom, 8v5.
37000	39000	Bom, 8v5.
39000	45000	Está mais falando.
45000	56000	Todo mundo está vendo minha presentação?
56000	57000	Sim.
57000	59000	Está bom.
59000	68000	Vou ser ponto aou esperar 5 horas para começar, mas vocês quiserem falar a dois suas câmeras.
68000	71000	Só me faz perguntar agora.
71000	76000	Goviche a por momento adequado, que é tão tempo informação que me agora que talvez responda
76000	77000	a pergunta de vocês.
77000	83000	Mas está dando o que a França sozinho, igual vocês me deixam no Discord, falando fazzinho, ninguém dá um joinha.
84000	86000	Vamos falar sobre isso aqui.
86000	89000	Vamos conversar com os chinos.
89000	92000	Vamos fazer um vídeo.
92000	94000	Vamos fazer um vídeo.
94000	95000	Vamos fazer um vídeo.
95000	97000	Vamos fazer um vídeo.
97000	99000	Vamos fazer um vídeo.
99000	104000	Vocês já estão colocando o Discord de Telefoni, viram uma mensagem ali.
104000	106000	Já já.
106500	111880	Euarse em cada profond Elon de você,
111880	114000	passando fora.
114000	117500	Bem, eu tenho estado simples.
117500	120000	Onde eu usco com o pronto.
120000	130840	Nós te saja
130840	134060	então vamos NFC.
134060	135800	Eu sou Brian Dirick.
135800	162280	eu consigo ver quando常ar caralza com a sociedade que a gente visa aí e
165800	177800	Na possível gente, você pode ter uma cadeia de sonhos de anoite.
177800	179100	Será que é bom baixo?
179100	180800	Você foi que meia nove horas.
180800	181800	Eu já vou estar.
181800	185800	Eu que quase a gente que me abraziu.
185800	188800	Vou tentar...
188800	190800	Não.
190800	192800	Espero que ele entra em.
193800	196800	Oi, Guilherme.
196800	198800	Oi, tudo bem?
198800	200800	Tudo bem.
204800	206800	Isso é bem.
206800	209800	O que é reajou no Discord, isso é o que falam sozinho.
209800	211800	Por mais uma vez.
211800	212800	Vou olhar aqui também.
212800	213800	Ou...
213800	215800	Um join é um coração...
215800	218800	Um dedão para cima.
218800	219800	Que não...
219800	221800	Não deixa a satisfazinha.
221800	222800	Não para cima.
222800	223800	É...
223800	226800	E não é te páscoo no adlacho, mas não é os carros de gente.
226800	228800	Assim, eu me premi.
228800	229800	Não foi nada.
