start	end	text
30000	36380	só o tempo também, a gente quer pegar uma água, tal, vou aqui também chegar a
36380	40340	fin e então aqui, circulo teus a gente começa.
90000	120000	Então, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá
120000	150000	vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá
150000	180000	vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá
180000	210000	vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá
210000	240000	vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá touches é, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, regions vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá no lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos lá, vamos
240000	244000	Então, se a primeira a hoje é a turma de XIX, eu queria tripor o tempo no Brasil.
244000	247000	Vou começar aqui com a nossa aula em protória.
247000	251000	Então, igual a gente falou, a gente vai começar juntos, né?
251000	256000	Os botiquemps de ciência e a navegidade vão começar juntos.
256000	260000	E lá, depois da semana saí-te, a gente vai se desmembrar.
260000	263000	Então, a gente vai caminhar junto.
263000	265000	Eu vou tapar vocês por toda esse trajetória.
265000	269000	E nada mais justo, porque é o meu apresentado.
269000	274000	Eu sou o Bruno, eu trabalho com dados já desde 2016,
274000	276000	como é 5, 2016.
276000	280000	Então, a gestão, ali, 8 anos, trabalhando com dados.
280000	285000	Eu me formei em engenharia de produção pela universidade de Brasil.
285000	291000	Então, eu ingressei no mundo de dados ali, um ano antes.
291000	294000	Então, 1 e 1 antes, terminaram o meu curso,
294000	296000	com ele, e final, os 2018.
296000	300000	E, como eu sou um caso bem-raro, assim,
300000	304000	de alguém que, por acaso, não por acaso, também era o que eu já buscava,
304000	308000	mas eu ingressei na área de dados bem no comecinho da minha trajetória
308000	309000	profissional.
309000	312000	Mas fica entream que eles que essa não é a regra.
312000	317000	Eu sou bem a exceção mesmo, de só de trabalho com dados.
317000	323000	Eu cocei a gente profissão, antes disso eu trabalhei também na fábrica da Coca-Cola.
323000	326000	De Brasil, eu fomos de Brasil.
326000	329000	Então, eu tive o portendage de ver o mundo, né?
329000	333000	Vem uma fábrica ali, conhecer e acabei dentro da fábrica,
333000	335000	porque a fábrica é o mundo em si.
335000	338000	Acabei dentro da área de logística, me apaixonando por dados.
338000	340000	E ali foi embora.
340000	345000	Estraba aí, 5 anos na Uis, que é um grupo que trabalha
345000	348000	ali mais ou menos novos bastidores do mercado,
348000	351000	principalmente, que me acabaram de seguros do Brasil.
351000	357000	Então, a Uis é basicamente só se é do Banco Inter, Banco Bem-MG, Banco BRB,
357000	363000	Photoshop, Omnim, várias balkões, e a Uis trabalha vendendo seguros.
363000	368000	Então, eu tive contato com muito Banco na minha trajetória ali.
368000	371000	Antes disso também a Uis foi a parceira da caixa, então ela,
371000	374000	a Uis viabrizava os seguros da caixa como que federal.
374000	378000	Então, o mistrutura de basicamente em inteligência,
378000	382000	em seguros, e eu trabalhei muito tempo nesse mercado financeiro,
382000	388000	atualmente já faz desde, mas já faz um 6 meses que eu migrei
388000	391000	para a Rio Cáche, então, um pessoal do Rio de Janeiro,
391000	397000	trabalhando agora pegando o fraude no sistema de transporte do Rio de Janeiro entre outras coisas,
397000	401000	mas só atualmente em sentido de dar de senha na Rio Cáche,
401000	407000	mas e também a tu com projeto trabalhando totalmente no projeto,
407000	411000	do Caifur, então, o trabalho no projeto de Caifur,
411000	416000	Caifur e Caifur, o grupo Caifur, trabalhando como dinheiro de machine learning,
416000	419000	não recomendo trabalhar em dois lugares,
419000	423000	eu tô fazendo isso três contando com a tripur, tem aqui,
423000	427000	mas eu tenho pra organizar a minha vida, é o momento que eu também focado
427000	430000	assim em coisas pessoais, e eu gosto muito aqui,
430000	434000	vocês vão ver gosto muito de falar de dados, trabalhar com dados,
434000	436000	assim realmente para mim eu falo que cara.
436000	440000	Eu sinto que eu tô eternamente num joguinho ali de,
440000	443000	eu gosto muito de jogar também, então eu tô ali muito,
443000	445000	não é eternamente num jogo de videogame, assim,
445000	449000	porque eu tento levar meu trabalho como algo desafiador,
449000	452000	que eu gosto de estar fazendo e que eu tenho pra ir assim,
452000	455000	então, é muito disto também que vocês vão ver,
455000	458000	eu tenho sempre levar as coisas para o lado da vida,
458000	461000	que tá relacionado a com que a gente tem na nossa vida,
461000	464000	então, aqui ébrar um pouco essa barreira de tudo que tem
464000	467000	de programação, ter que ser extremamente complexo,
467000	470000	eu não acredito nisso, acredito que todas,
470000	474000	pode ser simplificado de uma forma que a gente conseguem entender e aplicar no mundo real,
474000	479000	então eu acredito que existem a teoria aqui em base a tudo que a gente faz,
479000	483000	mas a gente tem que saber conversar com que a gente tá entregando as coisas,
483000	485000	e no mundo de dados trabalhando com dados,
485000	489000	vocês vão ver que muitas vezes clientes vocês não vão saber nada de dados,
489000	492000	então, a gente vai ter que tentar fazer essa aplicação,
492000	495000	esses correlações com a vida, eu tenho muito fazer isso,
495000	498000	como robes da vida eu gosto muito de história,
498000	500000	eu sou o louco pro história assim,
500000	502000	de podcast, de Leibru,
502000	505000	a história do Brasil, acho que história é,
505000	507000	até trabalhando com dados,
507000	509000	não das partes com mais gosto de dados, são seres históricos,
509000	513000	seres temporais, então acho muito que a gente aprende muito
513000	515000	olhando pro passado, e acho que mais ou menos,
515000	521000	não há amor por dados, começou ali na época de história já,
521000	526000	e como pessoal atualmente moro nociará,
526000	530000	não moro mais brasileiro, mas nociará estou aqui na praia,
530000	533000	eu faço caitsulfi, no final de semana,
533000	537000	então gosto também de estar sempre ali na ativa,
537000	539000	porque quando a gente trabalha com dados,
539000	542000	a gente fica muito tempo em computador e é importante também,
542000	544000	movimentar ali um pouco nessa aí,
544000	546000	também não ficar tão temperamentado.
546000	548000	E nosso objetivo hoje,
548000	550000	vamos ser o malo entre o Thorin,
550000	552000	não vamos botar a monamassa,
552000	556000	vamos falar muito sobre como vai ser a nossa trajetória que junto,
556000	559000	também, vamos ter a gigastã,
559000	561000	eu quero ouvir muito de vocês,
561000	563000	e a gente vai falar aqui basicamente,
563000	566000	como que vai ser as nossas interessantes ao longo desse busquete,
566000	568000	então vamos passar muito,
568000	570000	por como que o nosso momento,
570000	572000	o nosso contato, o nosso abenário,
572000	574000	o que você, as cíuns e quartas,
574000	576000	com o que é o colôni,
576000	578000	e que vocês podem aproveitar de lá,
578000	580000	como ser os projetos,
580000	582000	vamos falar um pouquinho de tudo,
582000	584000	então seja ouviram na introdução,
584000	586000	já ouviram na sua atassada,
586000	588000	mas eu vou falar um pouco que o que dá perspectiva,
588000	589000	muito mais assim,
589000	591000	talvez eu preciso ter que ter um pouco mais técnico,
591000	593000	então é legal se esterem essa visão também,
593000	595000	como que vai ser esse trajetória,
595000	597000	e até porque se também agora tomando no primeiro momento,
597000	599000	a primeira estuente já está aberto,
599000	601000	então seja tão sendo bombardados ali,
601000	603000	eu sei como é o que é a primeira estuente,
603000	605000	para muito a gente é,
605000	607000	é uma bomba de formação,
607000	609000	então também hoje vou tentar aqui,
609000	611000	trazendo um pouco de leveza,
611000	613000	tentar quebrar um pouco essas barreiras já,
613000	614000	tudo é difícil,
614000	616000	vamos trocar esse ideia aqui,
616000	618000	a gente vai pensar ali,
618000	620000	também, a ideia de vídeo é sal,
620000	622000	aqui entre hoje e quarta,
622000	624000	então a ideia que a gente marque hoje até uns 10,
624000	626000	e entender também,
626000	627000	o nosso ideia não sei,
627000	629000	até quando a gente vai conseguir,
629000	632000	mas a gente depois tem milha na quarta,
633000	635000	e a gente vai ter nem a diferença de habilidades,
635000	636000	de ferramentas,
636000	638000	para datar a instidação de atralística,
638000	641000	se igual a gente vai junto aqui até a semana set,
641000	643000	mas vamos deixar bem claro,
643000	644000	no ponto de vista técnico,
644000	647000	qual são as diferenças das duas carreiras,
647000	650000	e também quais são as ferramentas de aprendizado
650000	651000	deste bootcamp,
651000	654000	o que a gente vai utilizar para aprender,
654000	657000	vai desenvolver o nosso processo de aprendizado mesmo,
657000	661000	e o que a gente vai ter pela frente aqui no bootcamp,
662000	663000	então, o curo programa de hoje,
663000	664000	tipo Jean-Leon,
664000	665000	online,
665000	667000	vamos falar sobre isso,
667000	669000	definição expectativas aqui,
669000	671000	dos combinairos,
671000	673000	quem a gente vai ter juntos,
673000	675000	às duas práticas lá do bootcamp,
675000	676000	e na medida assim,
676000	678000	mesmo o tipo ensinar o bootcamp,
678000	679000	os corres,
679000	682000	para quem não é do mundo de jogos,
682000	683000	então, o tipo para mim,
683000	684000	quando eu cheguei a criança,
684000	685000	eu tenho que foi tranquilo,
685000	688000	porque os jogos bastante também,
688000	689000	e o pessoal de jogo sabe,
689000	693080	da cidade do jogo no Discord, já acham alguém então, então eu já sabia mexendo os cor,
