start	end	text
0	6000	Então, vamos começar aqui.
6000	11000	Então, essa é a nossa primeira aula, pessoal.
11000	14000	As primeira uma abinar, que eu já treijo o turro.
14000	17000	2 de outro turro na verdade, na treijo programa, hein?
17000	20000	A gente vai falar o trocosivo 6 no botiquem,
20000	22000	e a gente vai estar na essa jornada de juntos.
22000	28000	Eu acho que vocês vão ter certeza no final de um jornada que vai ver a pena.
28000	32000	Eu já tive na situação também, já fiz um botiquem em 16 de dados,
32000	39000	em 2020, em 2021, já fiz outro botiquem em inglês também em 2023.
39000	43000	Então, ação é uma experiência imestiva, assim,
43000	47000	vocês vão ver que realmente vai impactar na rotina de vocês.
47000	49000	Não é algo que dá para deixar assim,
49000	53000	vai em paralelo, é algo que vai ter impacto direto na rotina de vocês
53000	54000	por um período ali.
54000	58000	Então, esses 7, 9 meses dependendo de um data science ou data analytics,
58000	64000	mas, no final, vai valer a pena, e vocês vão ver hoje aqui um pouquinho do por-de.
64000	66000	Então, primeiro passo, pessoal, vou me apresentar.
66000	69000	Eu sou Bruno, eu sou de Brasilia, moro em Brasilia.
69000	72000	Eu tenho 8 anos, os peninsifundados,
72000	75000	eu trabalho com dados diferente de muita gente,
75000	80000	que é a extremo minoria da área que não fez transição de carreira.
80000	82000	Eu sempre trabalho com dados.
82000	86000	Então, eu fiz em gery de produção, então, a universidade de Brasilia
86000	88000	e, desde o começo, com o Brasilia,
88000	90000	acho que, praticamente, não tem fábrico a cabeça,
90000	93000	entrando por ser todos serviços.
93000	97000	E, tive muito contato com dados desde o meu primeiro momento,
97000	100000	então, como eu sei como está já, o analista de dados junho,
100000	103000	foi a narragidade plano, foi na cidade senha,
103000	107000	depois, coordenador de um equip de engenharia de dados
107000	109000	e a narragidade, e também depois,
109000	113000	eu fumo bem a área de sensitados na empresa que eu trabalhei
113000	115000	por mais tempo, trabalhei na o escor,
115000	118000	então, ao escor, foi a minha empresa que está ali no base doido,
118000	120000	do sistema financeiro nacional,
120000	123000	então, quando entrei, era uma parceira que vendiu os seguros,
123000	125000	começaram a deslávar os seguros da caixa de seguradora,
125000	127000	então, acho que colocou federal,
127000	129000	trabalhei projetos com banco em interbéng,
129000	133000	em berbeca, oura, promotiva, que é a rede de crédito,
133000	135000	uma rede de crédito indireta do banco no Brasil,
135000	138000	e o poli-shop, homenim, e o grupa-ribui,
138000	141000	então, trabalhei bem somente no seu tofu financeiro,
141000	144000	na minha carreira, então, desde agora, tem dois meses,
144000	147000	eu estou numa aventura, comecei no vocalo,
147000	150000	de engenheiro de Machinilano, no grupa-ribu,
150000	153000	então, estou envolvido com sensitados diretamente pelo menos
153000	158000	eleia três anos, com a gente com a narragidade aos quase oito anos,
158000	160000	hoje em dia também, então, projetos, por fora,
160000	163000	com com colegas que eu tive na época da Ui,
163000	165000	principalmente, então, então, em São a coisa muito oral,
165000	167000	que vocês vão ver pela carreira de vocês,
167000	169000	que até que dentro do bootcamp mesmo,
169000	172000	então, o que a gente sentiu bastante vocês,
172000	174000	que já deu uma passeiria mesmo,
174000	176000	então, vocês todos aqui estão no mesmo banco,
176000	178000	enfim, data science, data analytics,
178000	181000	mas, em geral, estão todos com os o mesmo do objetivo,
181000	183000	tentando fazer a se transição e lá na frente,
183000	186000	vocês vão ver que fazer esses láços vale a pena,
186000	189000	e, para mim, tem uma vida, consigo, enfim,
189000	192000	hoje em dia, graças a Deus do nível de conseguir
192000	195000	rejeitar o ponto e da rádio porque não tem mais tempo,
195000	200000	e consegue vocês vão ver que a rejeitidade do Brasil
200000	202000	não é tão grande quando parece,
202000	204000	então, a gente vê que tem muita gente ingressando
204000	207000	mais o volume de posições também acompanham,
207000	209000	então, quando vocês conseguem entregar,
209000	211000	fazer uma coisa bem acaba criando,
211000	214000	é uma rejeitidade, muito interessante que vocês vão usar
214000	216000	por toda sua carreira.
216000	221000	De Robes, já eu sou o Xbox, já fiz quase tudo nessa vida,
221000	223000	já sou faixa preta e ajudou,
223000	225000	já eu vou ver muito basket,
225000	227000	agora eu gosto de velejar,
227000	230000	o velejio aqui em Brasil e no lado para a mãe,
230000	233000	então, é um Robe que meu pai tinha, e me passou,
233000	236000	e gosto muito de história também,
236000	239000	sou o corpo por história que é uma forma
239000	242000	da esse contato com dados e a história tem como
