start	end	text
600000	607400	B ocela
616080	622300	acabou assim
625300	627040	inho na tal
627040	633240	Tudo mundo já com a família, reunida para a gente se indiano ou não, ou
633240	636400	as versasinho também, com o PSA vida.
636400	641360	Esporta gente a gente passar a fim de ano com o Espírito de Natal, pensando em que a gente gosta.
641360	649040	E também fazendo com a gente que é para o nosso futuro, porque não, também, falam um pouquinho de dados.
649040	656680	E hoje, a gente tem o nosso último último book aqui, do último desculpa atividade prática.
656680	663080	Da Esprint 3, então a gente vai seguir hoje, principalmente na manipulações de dados avançadas.
663080	669320	Então, a gente vai fazer atividades para as reservas sonadas ao que a gente viu na loteórica de que interfere.
669320	675160	Então, na que a gente tem a gente viu a gente fez uma loteórica, a gente falou bastante sobre manipulações de dados avançadas.
675160	677080	E hoje, a gente vai trazer elas na prática.
677080	679640	Então, a gente vai fazer essas manipulações de dados.
679640	685800	A gente vai novamente usar aquilo colab, vou até ligar ele aqui, para a gente usar o longo da aula.
685880	687400	Então, aumentada.
687400	694600	E aí, daí hoje, eu usalpando os que a nossa principal ferramenta de manipulações de dados ali, adorando um pai,
694600	696760	que a gente vai fazer algumas operações com ele.
696760	703000	Mas também, eu vou mostrar para vocês uma forma de indicar a regardados, que a gente vai usar bastante que não go de tempo.
703000	705400	Com o C-born, então, que é o C-born.
705400	709160	O C-born é uma biblioteca para análise básicamente estatística de dados.
709160	714120	Então, ele também tem também gráficos, mas são gráficos mais voltados para análise estatísticas.
714440	719960	Então, ele é construído em cima da gente pode livre, mas ele traz uma análise estatísticas ali,
721160	724440	visuais já voltadas para análise de dados.
724840	731800	Então, essa é uma vantagem do C-born, e ele tem um método dentro deste lado, de data set, que ele já traz da data set carregados.
731800	734760	Então, isso é muito bom, e são data set bons para a gente mostrar.
734760	737400	Eles estão a gente as manipulações avançadas, que a gente vai trazer hoje.
738840	741000	Então, aqui, primeiro passo, vamos rodar isso.
741080	745640	E a gente basta trazer, longe da data set, a gente passa para a gente stringe com o longo data set, que a gente tem.
747400	751800	Então, aqui, a gente tem um parâmetro de chips, que é a Prundata set de gorjetas, o parâmetro.
753320	761240	Se a esse que é a Prundata set de gelo e para o método taxis, que é para um data set de viagens de taxes.
761240	765400	Então, vamos ver como é que fica cada um desses, que é o três-seguimento que é o meu rapigenco.
766360	772920	O de gorjetas, que a gente tem total da conta, uma coluna de gorjeta, o sexo masculino feminino,
772920	780120	o seu pessoal é fumante ou não, o dia da semana, na esçã, deimanda em inglês, o tempo, na era moço, o café da maior gigantar.
780920	785640	O tamanho, provavelmente, era número de pessoas na mesa, e é isso que tem aqui no gorjetas.
787000	792280	Vamos morirado no info, não tem nenhum valor faltante, aparentemente, são uns uns uns 44,
792520	796360	colunas, uns 44 linhas, então, a gente tem aqui, uns 44 linhas de gorjetas.
797080	801880	E, é isso, né, a gente tem 4 variables categoricas, boas variáveis, por último, uma variável inteira,
801880	808760	que é aqui, noiro de pessoas a inteiras, por último, são total da conta de gorjetas, e as categoricas são essas quatro aqui.
811000	821240	Em beleza da molyada, no describe, aqui a gente tem o total da conta, né, a média de 20 dólares, por conta,
821240	827320	uns iupadrão ali de 8 dólares, o mínimo de 3 dólares, a conta mais barata, então, deu 3 dólares,
827320	833160	com nossa mediana, foi em 17, então, o próximo da média, e a conta mais favorable, deu 50 dólares.
834760	839720	Ora, falando de gorjetas, a gorjeta média foi 3 dólares, então, ali, de 15%,
839720	847080	na United States, em 19,5%, ao padrão, uns iupadrão de 18, 8, o gorjeta mínimo foi 1 dólares,
847240	853000	hoje, é uma máxima 10 dólares. Então, aqui, o tamanho, né, o saiz, o quantidade de pessoas,
853000	859240	a média, 2 pontos, com 66 pessoas por mesa, quando os iupadrão de 19,5, ali, o mínimo era 1 pessoa,
861400	869560	o máximo era 6 pessoas no mês. Então, beleza, agora, vamos ver o taxi, acho que a gente não tem ele aqui,
869560	876760	vamos mostrar carinha dele. O taxi se é esse aqui, então, a gente tem a data da...
876760	881400	E a pessoa foi pega a data da entrega, na data que ela foi que chegou, no mês de passageiros,
881400	886280	a distância, e per... é o custo daquela viagem, tipo, gorjeta, toça, no ingresso,
886280	892200	onde o tuputarífas adicionais, total, né, o valor total, somando esses 3,5 anos no maery,
892200	897240	que o secorro do taxi, o tipo de pagamento azul, na então, a região do bairro,
897240	906280	né, do que foi a coleto, bairro da entrega, na desculpa, a zona da entrega, zona da coleto, da entrega,
906280	910760	e o bairro da entrega da entrega da coleto, aqui, marata, então, o índice Bronx,
910760	916040	tiver que fulsar os bordos, os distritos de Nova York.
917880	924120	Dando um discréi, me, olha aqui que legal, quando a coluna tá com tipo de data,
925080	929960	a média, ela traz justamente o ponto, ponto média da data, né, então, dos esses 6 do 3 ali,
930760	934040	então, aqui, para a entrega, esses 6 do 3, 2019.
934040	938200	Aqui a gente vê, né, é o mínimo, a primeira data foi 28 de 12, e a última data foi,
938200	944360	tem um do novo, pela data sim, dá pra ver, que foi basicamente as viagens de...
945480	948840	março, né, provavelmente as viagens de março, de...
948840	954920	ouzeais que foram encerradas, ouzeais que até as viagens que começaram em março de 2019,
955320	959560	a gente tem aqui, para entrega isso também, e tinha o último viagem que acabou,
959560	964440	em abril, mas é isso, é, provavelmente, são as viagens de março de 2019.
966120	970520	No último passageiro, dá mais de 1,5,5,3, o máximo 6,5,5,5,5,5,
970520	974840	provavelmente era aqueles escados maiores, né, a distância, a gente teve aqui distância zero,
974840	979240	ele, provavelmente, tem alguma coisa errada, né, aqui, mais enfim.
979240	984200	50% a mediana, aqui, então, 1,64 quilômetros, a média 3,12,
984200	986920	a gente fica que já tem... é uma instrução, provavelmente, da mente,
986920	991320	deitas as suas longas, né, exatamente, e aqui, a gente veio 37 quilômetros.
991320	994760	E o custo foi média 13 dólares,
995400	1002840	os 50% aqui, em nove, 50 e o máximo 150, né, a viagem mais cara foi 150 dólares.
1002840	1007800	Então, a gorjeta aqui, máximo 33 dólares, a mínima nada,
1007800	1013880	e o total, a viagem mais cara, saiu 100,7,4 dólares no total.
1016200	1020440	Então, é isso, né, do taxi, e agora vamos ver o siai, esse, né, bom,
1020440	1023240	a gente dá uma olhadinha, ele também, que a gente vai trabalhar com ele também.
1023240	1028120	E o siai está um data sete bem simples, o boté de gelo, né,
1028520	1034200	o gelão dá até 6 bem simples, ele tem somente a data,
1034200	1042760	aqui, a data, basicamente, tem uma linha para cada data, desde 1980 até o finalzinho de 2019.
1042760	1046800	E é existente, é, a quantidade de gelo, enfim, de gelo,
1046800	1049560	nas perfeícias do mar na planta terra.
1049560	1053400	Então, a gente vai ver algum grudo tempo como flutou, então, ele tem somente luz,
1053400	1056960	duas colunas, esta data, franho, né, a data, e a quantidade de gelo,
1056960	1062960	um planta terra. Então, durante o valor dele, é as 13 milinhas que são 13 mil dias ao longo desse
1062960	1068320	tempo, e ele tem justamente a quantidade de gelo, para cada um de de esses gelos,
1068320	1072800	a gente consegue analisar o comportamento do gelo, na nosso perfil de mar da terra,
1072800	1075840	longo desse, enfim, basicamente, 40 anos.
1077120	1080960	Primeiro passo, lembra em que a gente viu como a gente pode usar funções
1080960	1084080	para manipular com os notos de dados e automates a tarefa,
1084080	1087520	que a gente vai fazer várias vezes. Então, vamos se pouca a gente tem esse data saída de
1087520	1092480	gorjeta, e todo mês a gente faz uma manipulação ali, para clasificar o nível de
1092480	1096480	gorjeta, né, então a gente vai pegar aqui, criar uma funçãozinho, para dizer se a gorjeta
1096480	1099600	é alta, baixo, a média. Então, o que é que a gente vai fazer, a gente vai criar
1099600	1103680	a função, chamar de clasque, agurgitas, ela vai receber um paramilito total
1103680	1107920	bio, que é o valor total da conta, e a gente vai jogar aqui, se esse valor total,
1107920	1115440	foi o maior do que 30, a gente vai retornar a auto, se ele foi entre 20 e 30, a gente vai retornar
1115440	1122240	mais, se não, né, o else, que aqui, basicamente, é menor do que 20, ele vai retornar,
1122240	1126080	baixo. Então, o que a gente faz, a gente vai aplicar, lembra que a gente botou o
1126080	1130400	a gente, que se não como que faz o apply, não vai classificar a gorjeta, que o padrão do
1130400	1135360	apply é botar no nível de coluna mesmo, e a gente vai passar a função classificar a
1135360	1138640	gente, então, a gente vai criar uma nova coluna chamada nível gorjeta,
1138640	1142800	a gente vai pegar a partir do total bio, então, o total bio ele vai entrar aqui,
1142800	1146320	e vai ser a gente paramilita para a gente fazer esse classificação.
1146320	1153200	Quando a gente fiativa aqui, olha o que acontece, já está classificado o nível daquela gorjeta.
1155440	1158160	Próximo passo, agora vamos fazer aqui um abruparamento com as gorjetas,
1158160	1164480	para ver como que elas compota uma um dos dias da semana, a gente tem aqui o dia,
1164480	1167360	a gente botou o velho grupo a gorjetas, na das nossas outras pessoas,
1167360	1171360	um gata frame com o jeito, esse tipo de velho grupo a pude, e não agregador,
1171360	1175040	a gente vai pegar o total da conta, e do total a gente vai pegar a leção de
1175040	1180880	lapação ali, se você vai pegar a média e a soma, e na gorjeta de tip,
1180880	1185840	a gente vai pegar a soma, a contagem e a média. Então, olha essa
1185840	1190800	clagal, a gente vai pegar a média e a soma do total bio, olha aqui,
1190800	1193360	pude da semana, olha, pode ver que é uma gente no sábio de um domingo,
1193360	1197200	as imagens das gorjetas são maiores. E a soma está lá,
1197200	1199680	a gente pode ver que se esta feira, é o total,
1199680	1204880	eu desculpa, o total do dos gorjetas, não, ele é maior,
1204880	1207920	aqui a gente vem pela média, não sábio de um domingo, as gorjetas saem de
1207920	1212400	277, vão para 2,993, 25, mas essa acontece também,
1212400	1215040	porque as contas ficam as caras no final de semana,
1215040	1219440	e a gente vê que pelo total, 87, 36 no final de semana,
1219600	1224320	e 62,99, bem menos o volume, nos dias que não são final de semana.
1224320	1226400	Então, aqui a gente já conseguiu fazer um agrupamento,
1226400	1230240	e se a gente quiser se fazer um segundo agrupamento, eu poderia vim aqui no grupo P.
1230240	1233280	Então, eu vou agrupar além do bem, eu vou botar por
1233280	1235600	time.
1235600	1239360	E olha o que acontece, ele agora pega por a moça e jantar,
1239360	1241920	em um sábio da parentemente, não funciona o promosso,
1241920	1244960	quando tem nenhuma entrada, a gente já descobri isso aqui agora.
1244960	1246720	Mas a gente pode ver, eu quer se contas, do amor,
1246720	1248400	vou sopar a gente mente na sexta,
1248400	1251040	eu sou bem mais barato do que eu jantar.
1251040	1255040	E na terça, bem parecido, apesar de só ter uma entrada aqui por jantar,
1255040	1259520	então, estranho, que tem um jantar, um uma entrada por jantar na terça.
1259520	1262000	Mas enfim, a isso que a gente consegue fazer com o web de pomens,
1262000	1263440	a gente pode passar aqui dentro do grupo P.
1263440	1265680	O que a gente quer botar no agrupamento,
1265680	1267120	e seguir a gente faz o agregador,
1267120	1270000	e mostrar o que a gente quer levar no agregador,
1270000	1272000	e quais as funções que a gente quer levar para ela.
1272000	1273760	Então, a gente dá a pica na média,
1273760	1276480	e a soma aqui é a soma contagem a mente,
1276480	1279680	para cada uma dessas duas columnas, chip e total bem.
1281920	1285440	Em seguida, vamos passar agora por função exlando da...
1285440	1287280	As funções lando das permite,
1287280	1290080	que a gente viu aplicar operações simples em uma linha de cor,
1290080	1294240	então a gente consegue definir funções sem o def,
1294240	1295760	sem a palavra de escada def,
1295760	1298560	então a gente consegue definir as funções em uma linha de cor,
1298560	1299680	e a gente vai fazer isso aqui,
1299680	1301200	não só uma, por exemplo,
1301200	1303920	aquelas três columnos no mérito que as lados taxa,
1303920	1305680	a gente vai somar em um só,
1305680	1306560	como que a gente vai fazer isso,
1306560	1307840	a gente vai dar uma plai,
1307840	1309440	e a gente vai, novamente,
1309440	1310720	a plai a gente dá para a funções,
1310720	1313520	só que a gente vai definir a função dentro do apply,
1313520	1315040	então a gente vai jogar um âmbida,
1315040	1316560	então para cada linha,
1316560	1320160	a gente vai somar o fér, o chip e o tos,
1320160	1322240	e aqui a gente vai passar um áxis igual,
1322240	1324080	porque a diferente do que ele lá,
1324080	1325520	a gente é precoa, a nível de cor,
1325520	1328640	não é que a gente vai aplicar a x-1, a nível de linha.
1328640	1331040	Então, com isso, olha o que acontece,
1331360	1334480	ele vai pegar por que por si é que se eu Zoom ele nem difícil que a linha,
1334480	1336480	e faz a soma desses três columnos,
1336480	1338000	gerando o somo total viagem,
1338000	1339520	o que que o somo total viagem em vira,
1339520	1344400	ele vira uma série com o somba da total,
1344400	1347280	soma total viagem para cada linha,
1347280	1349360	então a gente vai ter que ir,
1349360	1351840	para cada linha a gente tem o somo total daquela viagem,
1351840	1355200	então basta depois atribuir isso,
1355200	1357760	a nova coluna chamada a soma total viagem,
1357760	1360400	aqui era o nosso determinante frem, perfecto,
1360400	1364320	e com isso a gente consegue adicionar ela,
